regime,sweep,x_value,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high,plot_ci95_low,plot_ci95_high
common,d-sweep,5.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.050525252525252536,0.12407686541181666,0.012407686541181667,0.02620618690453647,0.0748443181459686,0.02620618690453647,0.0748443181459686
common,d-sweep,5.0,PC-RCIT,directed_f1,100,100,0.0,0.3881922244422244,0.30411833879591266,0.030411833879591267,0.32858503003822553,0.44779941884622326,0.32858503003822553,0.44779941884622326
common,d-sweep,6.0,LibraryDP,directed_f1,100,100,0.0,0.976780787753698,0.043715183580467894,0.00437151835804679,0.9682126117719263,0.9853489637354698,0.9682126117719263,0.9853489637354698
common,d-sweep,6.0,LibraryGreedy,directed_f1,100,100,0.0,0.9048714310285517,0.1709234603472536,0.01709234603472536,0.87137043280049,0.9383724292566135,0.87137043280049,0.9383724292566135
common,d-sweep,6.0,ODS,directed_f1,100,100,0.0,0.6113991484951238,0.17336985279772338,0.017336985279772336,0.57741865734677,0.6453796396434776,0.57741865734677,0.6453796396434776
common,d-sweep,6.0,OracleDP,directed_f1,100,100,0.0,0.9743163914688683,0.04198697704009787,0.0041986977040097875,0.9660869439690091,0.9825458389687275,0.9660869439690091,0.9825458389687275
common,d-sweep,6.0,PB-SCM,directed_f1,100,100,0.0,0.09429923834335596,0.13723585488609874,0.013723585488609875,0.06740101078568062,0.12119746590103131,0.06740101078568062,0.12119746590103131
common,d-sweep,6.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.02697302697302697,0.09762286081222803,0.009762286081222803,0.007838946253830276,0.04610710769222366,0.007838946253830276,0.04610710769222366
common,d-sweep,6.0,PC-RCIT,directed_f1,100,100,0.0,0.45420477561654027,0.2660222492191054,0.026602224921910538,0.4020644147695956,0.5063451364634849,0.4020644147695956,0.5063451364634849
common,d-sweep,7.0,LibraryDP,directed_f1,100,100,0.0,0.9640120845786481,0.06086971062764659,0.006086971062764659,0.9520816212956293,0.9759425478616668,0.9520816212956293,0.9759425478616668
common,d-sweep,7.0,LibraryGreedy,directed_f1,100,100,0.0,0.9036415012576003,0.14033013266569622,0.014033013266569621,0.8761367952551239,0.9311462072600768,0.8761367952551239,0.9311462072600768
common,d-sweep,7.0,ODS,directed_f1,100,100,0.0,0.5975237413668427,0.16677254255193927,0.016677254255193927,0.5648363230266626,0.6302111597070228,0.5648363230266626,0.6302111597070228
common,d-sweep,7.0,OracleDP,directed_f1,100,100,0.0,0.9695745602866346,0.04475378345473225,0.004475378345473225,0.960802818729507,0.9783463018437621,0.960802818729507,0.9783463018437621
common,d-sweep,7.0,PB-SCM,directed_f1,100,100,0.0,0.13969550848188617,0.17725384397868774,0.017725384397868773,0.10495375506206336,0.17443726190170897,0.10495375506206336,0.17443726190170897
common,d-sweep,7.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.00987179487179487,0.04587729022699479,0.004587729022699479,0.000879845987303892,0.01886374375628585,0.000879845987303892,0.01886374375628585
common,d-sweep,7.0,PC-RCIT,directed_f1,100,100,0.0,0.5039593365011321,0.21260057920128464,0.021260057920128465,0.46228962297768034,0.545629050024584,0.46228962297768034,0.545629050024584
common,d-sweep,8.0,LibraryDP,directed_f1,100,100,0.0,0.9730920885877409,0.040938177943418474,0.004093817794341847,0.9650682057108309,0.9811159714646509,0.9650682057108309,0.9811159714646509
common,d-sweep,8.0,LibraryGreedy,directed_f1,100,100,0.0,0.9048773133045444,0.14960475186956848,0.014960475186956848,0.8755547819381089,0.9341998446709798,0.8755547819381089,0.9341998446709798
common,d-sweep,8.0,ODS,directed_f1,100,100,0.0,0.5816032959862817,0.14303384155346077,0.014303384155346077,0.5535686630418034,0.60963792893076,0.5535686630418034,0.60963792893076
common,d-sweep,8.0,OracleDP,directed_f1,100,100,0.0,0.9686252690948344,0.04673039817121667,0.0046730398171216676,0.959466111053276,0.9777844271363928,0.959466111053276,0.9777844271363928
common,d-sweep,8.0,PB-SCM,directed_f1,100,100,0.0,0.10238526434006308,0.128084977262775,0.012808497726277502,0.07728060879655918,0.12748991988356698,0.07728060879655918,0.12748991988356698
common,d-sweep,8.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.022252747252747243,0.06146548772971979,0.006146548772971979,0.010205511657722165,0.03429998284777232,0.010205511657722165,0.03429998284777232
common,d-sweep,8.0,PC-RCIT,directed_f1,100,100,0.0,0.5489407009735452,0.19332810001945505,0.019332810001945505,0.511048393369732,0.5868330085773584,0.511048393369732,0.5868330085773584
common,d-sweep,9.0,LibraryDP,directed_f1,100,100,0.0,0.962021779003759,0.05756719395621787,0.0057567193956217875,0.9507386089883403,0.9733049490191776,0.9507386089883403,0.9733049490191776
common,d-sweep,9.0,LibraryGreedy,directed_f1,100,100,0.0,0.9195966166902765,0.0977750499197808,0.009777504991978079,0.9004327069059994,0.9387605264745535,0.9004327069059994,0.9387605264745535
common,d-sweep,9.0,ODS,directed_f1,100,100,0.0,0.5823703330415104,0.12445682260936054,0.012445682260936054,0.5579767958100758,0.6067638702729451,0.5579767958100758,0.6067638702729451
common,d-sweep,9.0,OracleDP,directed_f1,100,100,0.0,0.9699100372457437,0.03803083062711663,0.003803083062711663,0.9624559944428288,0.9773640800486585,0.9624559944428288,0.9773640800486585
common,d-sweep,9.0,PB-SCM,directed_f1,100,100,0.0,0.11365115197316705,0.12437454240151063,0.012437454240151063,0.08927374166247097,0.13802856228386312,0.08927374166247097,0.13802856228386312
common,d-sweep,9.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.02103921568627451,0.05564660324404191,0.005564660324404191,0.010132481450442295,0.031945949922106726,0.010132481450442295,0.031945949922106726
common,d-sweep,9.0,PC-RCIT,directed_f1,100,100,0.0,0.5233239705882726,0.17930580572104723,0.017930580572104723,0.48818003266694737,0.5584679085095979,0.48818003266694737,0.5584679085095979
common,d-sweep,10.0,LibraryDP,directed_f1,100,100,0.0,0.9634619978186443,0.0495203677488237,0.00495203677488237,0.9537560057398748,0.9731679898974137,0.9537560057398748,0.9731679898974137
common,d-sweep,10.0,LibraryGreedy,directed_f1,100,100,0.0,0.9305904642724723,0.10560554199856845,0.010560554199856844,0.9098917780407528,0.9512891505041917,0.9098917780407528,0.9512891505041917
common,d-sweep,10.0,ODS,directed_f1,100,100,0.0,0.5481502491245756,0.12643298349718912,0.012643298349718913,0.5233693843591265,0.5729311138900246,0.5233693843591265,0.5729311138900246
common,d-sweep,10.0,OracleDP,directed_f1,100,100,0.0,0.9622177095852668,0.04572517842439817,0.004572517842439817,0.9532555746140847,0.9711798445564488,0.9532555746140847,0.9711798445564488
common,d-sweep,10.0,PB-SCM,directed_f1,100,100,0.0,0.11464794344727376,0.13280291087735166,0.013280291087735166,0.08861857291531283,0.1406773139792347,0.08861857291531283,0.1406773139792347
common,d-sweep,10.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.015596835225318193,0.0496508886508816,0.00496508886508816,0.005865261049745399,0.025328409400890987,0.005865261049745399,0.025328409400890987
common,d-sweep,10.0,PC-RCIT,directed_f1,100,100,0.0,0.509356467032621,0.17792121173475264,0.017792121173475263,0.47448390953260955,0.5442290245326326,0.47448390953260955,0.5442290245326326
common,density-sweep,1.0,LibraryDP,directed_f1,100,100,0.0,0.971262605042017,0.046815567703120634,0.004681556770312063,0.9620867537722053,0.9804384563118287,0.9620867537722053,0.9804384563118287
common,density-sweep,1.0,LibraryGreedy,directed_f1,100,100,0.0,0.961262605042017,0.06721599650418371,0.006721599650418371,0.948088269727197,0.974436940356837,0.948088269727197,0.974436940356837
common,density-sweep,1.0,ODS,directed_f1,100,100,0.0,0.49696943061948445,0.16623782372902818,0.016623782372902816,0.4643868171685949,0.5295520440703739,0.4643868171685949,0.5295520440703739
common,density-sweep,1.0,OracleDP,directed_f1,100,100,0.0,0.9689096638655462,0.050484302820742184,0.005048430282074219,0.9590147405126808,0.9788045872184117,0.9590147405126808,0.9788045872184117
