regime,sweep,x_value,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high,plot_ci95_low,plot_ci95_high,panel
common,N-sweep,10000,LibraryDP,directed_f1,100,100,0.0,0.9971000000000001,0.014768357292007036,0.0014768357292007036,0.9942054019707667,0.9999945980292335,0.9942054019707667,0.9999945980292335,main_directed_f1
common,N-sweep,10000,LibraryGreedy,directed_f1,100,100,0.0,0.9073185568055133,0.15832281105915655,0.015832281105915655,0.8762872858379186,0.938349827773108,0.8762872858379186,0.938349827773108,main_directed_f1
common,N-sweep,10000,ODS,directed_f1,100,100,0.0,0.8379503105257229,0.12716883219060476,0.012716883219060476,0.8130252194163643,0.8628754016350815,0.8130252194163643,0.8628754016350815,main_directed_f1
common,N-sweep,10000,PC-RCIT,directed_f1,100,100,0.0,0.6147363680650124,0.1922722121893616,0.01922722121893616,0.5770510144758976,0.6524217216541273,0.5770510144758976,0.6524217216541273,main_directed_f1
common,N-sweep,100,Fixed-Poisson DP - LibraryDP,paired_directed_f1_gap_percentage_points,100,100,0.0,1.4056701371346676,6.499710418702068,0.6499710418702068,0.1317268950690622,2.6796133792002728,0.1317268950690622,2.6796133792002728,supplementary_paired_gap_not_plotted
common,N-sweep,200,Fixed-Poisson DP - LibraryDP,paired_directed_f1_gap_percentage_points,100,100,0.0,1.4999053959008193,5.530613240045353,0.5530613240045353,0.41590520085192995,2.5839055909497084,0.41590520085192995,2.5839055909497084,supplementary_paired_gap_not_plotted
common,N-sweep,400,Fixed-Poisson DP - LibraryDP,paired_directed_f1_gap_percentage_points,100,100,0.0,1.3121080368906457,5.59461175191373,0.559461175191373,0.2155641335155547,2.4086519402657367,0.2155641335155547,2.4086519402657367,supplementary_paired_gap_not_plotted
common,N-sweep,800,Fixed-Poisson DP - LibraryDP,paired_directed_f1_gap_percentage_points,100,100,0.0,0.40711462450592883,2.4225330775246556,0.24225330775246556,-0.06770185868890366,0.8819311077007613,-0.06770185868890366,0.8819311077007613,supplementary_paired_gap_not_plotted
common,N-sweep,1600,Fixed-Poisson DP - LibraryDP,paired_directed_f1_gap_percentage_points,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supplementary_paired_gap_not_plotted
common,N-sweep,3200,Fixed-Poisson DP - LibraryDP,paired_directed_f1_gap_percentage_points,100,100,0.0,0.2469565217391304,1.8132943800593555,0.18132943800593554,-0.10844917675250326,0.6023622202307641,-0.10844917675250326,0.6023622202307641,supplementary_paired_gap_not_plotted
common,N-sweep,6400,Fixed-Poisson DP - LibraryDP,paired_directed_f1_gap_percentage_points,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,supplementary_paired_gap_not_plotted
common,N-sweep,10000,Fixed-Poisson DP - LibraryDP,paired_directed_f1_gap_percentage_points,100,100,0.0,0.08333333333333337,0.8333333333333335,0.08333333333333334,-0.07999999999999999,0.24666666666666673,-0.07999999999999999,0.24666666666666673,supplementary_paired_gap_not_plotted
