regime,sweep,sweep_value,d,N,average_in_degree,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high
restricted,dimension,9.0,9,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.5215131292556922,0.17896423863358693,0.01789642386335869,0.48643613848350914,0.5565901200278752
restricted,dimension,9.0,9,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.12754821229906033,0.12142618969911197,0.012142618969911197,0.10374867911803438,0.15134774548008628
restricted,dimension,9.0,9,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.02103921568627451,0.05564660324404191,0.005564660324404191,0.010132481450442295,0.031945949922106726
restricted,dimension,10.0,10,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9692209144520046,0.042016012396316756,0.004201601239631676,0.9609857760223266,0.9774560528816827
restricted,dimension,10.0,10,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.9313098703144589,0.10568445849770851,0.01056844584977085,0.910595716448908,0.9520240241800098
restricted,dimension,10.0,10,3200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9622177095852668,0.04572517842439817,0.004572517842439817,0.9532555746140847,0.9711798445564488
restricted,dimension,10.0,10,3200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.5481502491245756,0.12643298349718912,0.012643298349718913,0.5233693843591265,0.5729311138900246
restricted,dimension,10.0,10,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.505344444577578,0.18018624578789474,0.018018624578789475,0.4700279404031506,0.5406609487520053
restricted,dimension,10.0,10,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.1053791068916725,0.1269346743199569,0.01269346743199569,0.08049991072496095,0.13025830305838404
restricted,dimension,10.0,10,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.015596835225318198,0.04965088865088161,0.004965088865088161,0.005865261049745402,0.025328409400890994
restricted,sample_size,100.0,8,100,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.6926629073944257,0.17063633078620652,0.017063633078620653,0.6592181865603293,0.7261076282285222
restricted,sample_size,100.0,8,100,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.637012708076088,0.17025224326412852,0.017025224326412854,0.6036432683963188,0.6703821477558572
restricted,sample_size,100.0,8,100,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.7309275857239781,0.1498564165325749,0.014985641653257489,0.7015557280835935,0.7602994433643627
restricted,sample_size,100.0,8,100,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.4606984209774355,0.11871684832331718,0.011871684832331718,0.43742991870606535,0.4839669232488057
restricted,sample_size,100.0,8,100,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.12227100840336133,0.1516864062497266,0.01516864062497266,0.09254047277841491,0.15200154402830773
restricted,sample_size,100.0,8,100,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.0059340659340659345,0.029238187770489362,0.0029238187770489364,0.00020338113105001967,0.011664750737081848
restricted,sample_size,100.0,8,100,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.013424369747899158,0.05155239147466223,0.005155239147466223,0.0033201010188653613,0.023528638476932956
restricted,sample_size,200.0,8,200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.7938605684170903,0.12861414571690616,0.012861414571690617,0.7686521958565767,0.8190689409776039
restricted,sample_size,200.0,8,200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.7169861544506856,0.1553682413919158,0.01553682413919158,0.6865339791378701,0.7474383297635011
restricted,sample_size,200.0,8,200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.8259685376408489,0.10272332640396206,0.010272332640396207,0.8058347656656724,0.8461023096160254
restricted,sample_size,200.0,8,200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.4869485435624394,0.10643791410768103,0.010643791410768103,0.4660867123973339,0.5078103747275449
restricted,sample_size,200.0,8,200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.18872286107425423,0.17030712741059728,0.017030712741059727,0.15534266410177716,0.2221030580467313
restricted,sample_size,200.0,8,200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.011677655677655677,0.0398747627948484,0.00398747627948484,0.003862202169865391,0.019493109185445962
restricted,sample_size,200.0,8,200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.012666666666666666,0.040497942829441434,0.004049794282944144,0.004729069872096144,0.02060426346123719
restricted,sample_size,400.0,8,400,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.8692262938942573,0.10542825228451118,0.010542825228451118,0.8485623564464931,0.8898902313420215
restricted,sample_size,400.0,8,400,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.8001319572233156,0.1541547535096069,0.015415475350960689,0.7699176255354327,0.8303462889111985
restricted,sample_size,400.0,8,400,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.8830057978156511,0.09346626838853458,0.00934662683885346,0.8646864092114983,0.901325186419804
