season,game_id,period,team_id,FOUL,FTA,FTM,PERS_FOUL_DRAWN,LOOSE_BALL_FOUL_DRAWN
2024-25,22400035,2,1610612741,6,10,10,1,1
2024-25,22400035,2,1610612764,0,0,0,0,0
2024-25,22400035,3,1610612741,2,0,0,2,0
2024-25,22400035,3,1610612764,10,19,15,2,1
2024-25,22400035,4,1610612741,7,10,7,1,1
2024-25,22400035,4,1610612764,7,7,3,2,2
2024-25,22400036,1,1610612748,4,8,7,0,0
2024-25,22400036,1,1610612749,2,5,4,0,0
2024-25,22400036,2,1610612748,10,15,11,5,0
2024-25,22400036,2,1610612749,1,0,0,1,0
2024-25,22400036,3,1610612748,3,3,3,0,1
2024-25,22400036,3,1610612749,5,6,5,2,1
2024-25,22400036,4,1610612748,2,4,2,0,0
2024-25,22400036,4,1610612749,4,6,5,2,0
2024-25,22400037,1,1610612745,3,2,2,1,1
2024-25,22400037,1,1610612750,4,4,4,1,1
2024-25,22400037,2,1610612745,2,2,1,0,1
2024-25,22400037,2,1610612750,5,4,3,2,2
2024-25,22400037,3,1610612745,5,3,3,3,1
2024-25,22400037,3,1610612750,4,3,3,2,0
2024-25,22400037,4,1610612745,4,4,4,2,0
2024-25,22400037,4,1610612750,3,5,5,0,0
2024-25,22400038,1,1610612759,2,4,3,0,0
2024-25,22400038,1,1610612762,2,5,3,0,0
2024-25,22400038,2,1610612759,4,3,3,2,1
2024-25,22400038,2,1610612762,6,5,4,4,1
2024-25,22400038,3,1610612759,6,9,8,3,0
2024-25,22400038,3,1610612762,5,5,4,2,2
2024-25,22400038,4,1610612759,6,10,6,3,0
2024-25,22400038,4,1610612762,3,5,5,0,0
2024-25,22400039,1,1610612747,1,0,0,1,0
2024-25,22400039,1,1610612756,0,0,0,0,0
2024-25,22400039,2,1610612747,6,10,6,0,1
2024-25,22400039,2,1610612756,4,5,4,0,1
2024-25,22400039,3,1610612747,4,5,4,1,0
2024-25,22400039,3,1610612756,3,3,3,0,1
2024-25,22400039,4,1610612747,6,10,8,2,0
2024-25,22400039,4,1610612756,3,2,1,2,1
2024-25,22400040,1,1610612752,3,2,1,2,0
2024-25,22400040,1,1610612766,2,2,2,0,1
2024-25,22400040,2,1610612752,3,3,3,2,0
2024-25,22400040,2,1610612766,3,4,2,0,1
2024-25,22400040,3,1610612752,7,7,6,4,0
2024-25,22400040,3,1610612766,4,4,4,2,0
2024-25,22400040,4,1610612752,3,7,5,2,0
2024-25,22400040,4,1610612766,6,5,3,3,1
2024-25,22400041,1,1610612737,4,4,1,2,0
2024-25,22400041,1,1610612739,2,2,2,1,0
2024-25,22400041,2,1610612737,5,5,5,4,0
2024-25,22400041,2,1610612739,4,4,3,2,0
2024-25,22400041,3,1610612737,4,3,3,2,0
2024-25,22400041,3,1610612739,5,4,4,3,0
2024-25,22400041,4,1610612737,6,6,6,4,1
2024-25,22400041,4,1610612739,6,7,5,3,0
2024-25,22400042,1,1610612740,2,2,0,1,0
2024-25,22400042,1,1610612763,2,2,2,0,0
2024-25,22400042,2,1610612740,5,8,7,2,0
2024-25,22400042,2,1610612763,2,1,1,1,0
2024-25,22400042,3,1610612740,7,14,12,1,2
2024-25,22400042,3,1610612763,5,4,2,4,0
2024-25,22400042,4,1610612740,7,6,5,5,0
2024-25,22400042,4,1610612763,7,10,9,0,1
2024-25,22400043,1,1610612751,0,0,0,0,0
2024-25,22400043,1,1610612753,5,6,6,2,1
2024-25,22400043,2,1610612751,4,3,1,1,0
2024-25,22400043,2,1610612753,7,6,5,5,1
2024-25,22400043,3,1610612751,6,7,6,4,0
2024-25,22400043,3,1610612753,3,6,3,0,0
2024-25,22400043,4,1610612751,6,4,3,4,0
2024-25,22400043,4,1610612753,4,4,3,2,0
2024-25,22400044,1,1610612746,4,5,5,2,0
2024-25,22400044,1,1610612750,4,4,4,1,1
2024-25,22400044,2,1610612746,3,4,3,0,1
2024-25,22400044,2,1610612750,5,8,8,1,1
2024-25,22400044,3,1610612746,3,1,0,3,0
2024-25,22400044,3,1610612750,1,1,0,0,0
2024-25,22400044,4,1610612746,3,3,2,1,0
2024-25,22400044,4,1610612750,5,7,4,1,0
2024-25,22400045,1,1610612754,4,2,2,3,0
2024-25,22400045,1,1610612765,5,3,2,2,0
2024-25,22400045,2,1610612754,2,4,4,0,0
2024-25,22400045,2,1610612765,3,6,6,0,0
2024-25,22400045,3,1610612754,2,2,1,0,1
2024-25,22400045,3,1610612765,3,2,2,1,0
2024-25,22400045,4,1610612754,4,5,5,2,0
2024-25,22400045,4,1610612765,6,9,6,3,0
2024-25,22400046,1,1610612748,1,3,2,0,0
2024-25,22400046,1,1610612761,2,0,0,2,0
2024-25,22400046,2,1610612748,4,6,5,0,0
2024-25,22400046,2,1610612761,6,7,6,3,0
2024-25,22400046,3,1610612748,5,6,5,0,1
2024-25,22400046,3,1610612761,5,6,5,1,1
2024-25,22400046,4,1610612748,5,2,2,4,1
2024-25,22400046,4,1610612761,4,4,3,2,0
2024-25,22400047,1,1610612738,2,1,0,1,0
2024-25,22400047,1,1610612741,4,6,5,1,0
2024-25,22400047,2,1610612738,6,8,7,2,1
2024-25,22400047,2,1610612741,3,2,2,2,0
