regime,sweep,sweep_value,d,N,average_in_degree,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high
restricted,average_in_degree,2.0,8,3200,2.0,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.644418430084299,0.1284722028077557,0.0128472202807755,0.6192378783339789,0.6695989818346191
restricted,average_in_degree,2.0,8,3200,2.0,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.4814801050334009,0.1642292897033805,0.016422928970338,0.4492911642515383,0.5136690458152635
restricted,average_in_degree,2.0,8,3200,2.0,PBSCM,directed_f1_recomputed,100,100,0.0,0.1045590562796196,0.1423354545797871,0.0142335454579787,0.0766613071819814,0.1324568053772579
restricted,average_in_degree,2.0,8,3200,2.0,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0150467836257309,0.04987032501827,0.004987032501827,0.00527219992215,0.0248213673293119
restricted,average_in_degree,2.5,8,3200,2.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9709482780188816,0.0386373295576474,0.0038637329557647,0.9633753614255828,0.9785211946121806
restricted,average_in_degree,2.5,8,3200,2.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.7630967495663183,0.171846303778945,0.0171846303778945,0.7294148740256451,0.7967786251069916
restricted,average_in_degree,2.5,8,3200,2.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9699375548720864,0.042126814185913,0.0042126814185913,0.9616806992916476,0.9781944104525254
restricted,average_in_degree,2.5,8,3200,2.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.6871750189609973,0.1157979046572929,0.0115797904657292,0.6644786296481678,0.7098714082738268
restricted,average_in_degree,2.5,8,3200,2.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.4137062262287444,0.1531533786187379,0.0153153378618737,0.3836881640194718,0.443724288438017
restricted,average_in_degree,2.5,8,3200,2.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.1089152602652652,0.157062938838939,0.0157062938838939,0.0781309242528331,0.1396995962776973
restricted,average_in_degree,2.5,8,3200,2.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0242033690946734,0.0547373874114783,0.0054737387411478,0.0134748411620236,0.0349318970273232
restricted,average_in_degree,3.0,8,3200,3.0,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9680192321315688,0.0405361795628341,0.0040536179562834,0.9600741409372534,0.9759643233258845
restricted,average_in_degree,3.0,8,3200,3.0,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.6268798350727041,0.1834760140277083,0.0183476014027708,0.5909185363232732,0.6628411338221349
restricted,average_in_degree,3.0,8,3200,3.0,OracleDP,directed_f1_recomputed,100,100,0.0,0.9682897939009742,0.0404836876976745,0.0040483687697674,0.96035499111223,0.9762245966897184
restricted,average_in_degree,3.0,8,3200,3.0,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.6927169482360037,0.1010216502242507,0.010102165022425,0.6729167047920506,0.7125171916799569
restricted,average_in_degree,3.0,8,3200,3.0,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.3159048533400845,0.1572790088570079,0.0157279008857007,0.285078167604111,0.346731539076058
restricted,average_in_degree,3.0,8,3200,3.0,PBSCM,directed_f1_recomputed,100,100,0.0,0.0946080984483754,0.1595364681244025,0.0159536468124402,0.0633389506959926,0.1258772462007583
restricted,average_in_degree,3.0,8,3200,3.0,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.01542157364738,0.0471138455035953,0.0047113845503595,0.0061872599286754,0.0246558873660847
extended,dimension,4.0,4,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9909090909090909,0.0353863156437056,0.0035386315643705,0.9839733730429244,0.997844808775257
extended,dimension,4.0,4,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.8551919191919193,0.2042307141264123,0.0204230714126412,0.8151626992231424,0.8952211391606961
