alpha_regime,sweep,anchor_d,anchor_N,kbar_in,d,method,alpha_low,alpha_high,max_parents,avg_indegree,dag_generation_mode,mean_realized_avg_indegree,se_realized_avg_indegree,parallel_workers,completed_reps,mean_directed_f1,se_directed_f1,mean_skeleton_f1,se_skeleton_f1,mean_exact_dag,se_exact_dag,mean_family_accuracy,se_family_accuracy,mean_alpha_rmse_if_exact,se_alpha_rmse_if_exact,valid_alpha_rmse_reps,mean_alpha_rmse_on_correct_edges,se_alpha_rmse_on_correct_edges,valid_alpha_correct_edge_reps,mean_alpha_mape_on_correct_edges_pct,se_alpha_mape_on_correct_edges_pct,mean_alpha_rmse_on_true_edges,se_alpha_rmse_on_true_edges,mean_n_correct_directed_edges,mean_runtime_sec,se_runtime_sec,mean_local_score_runtime_sec,se_local_score_runtime_sec,mean_search_runtime_sec,se_search_runtime_sec,mean_n_local_scores_evaluated,N
common,d,8,3200,1.5,8.0,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9686252690948344,0.0046730398171216,0.9710689083862996,0.0043450965904087,0.55,0.05,1.0,0.0,0.0399073963642847,0.0039110785458566,55,0.0477266308105704,0.0031215389207407,100,7.435442825263385,0.451423752557792,0.0714877024348628,0.0063316843272716,11.58,6.108410775001394,0.5285649228544429,6.107712761000585,0.528564483667907,0.000698014000809,5.416453582348365e-06,960.0,
common,d,8,3200,1.5,8.0,PBSCM,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.1023852643400631,0.0128084977262775,0.3758705442658128,0.0305594844730595,0.0,0.0,,,,,0,,,0,,,,,0.91,4.073480228000844,0.3942524856192427,,,,,,
common,d,8,3200,1.5,8.0,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0222527472527472,0.0061465487729719,0.0814409609997845,0.0105868727258854,0.0,0.0,,,,,0,,,0,,,,,0.16,0.5733641030004947,0.0041033309122261,,,,,,
common,d,8,3200,1.5,8.0,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.5489407009735452,0.0193328100019455,0.9003939096753741,0.0069265543600115,0.0,0.0,,,,,0,,,0,,,,,5.52,7.97424914200019,0.304104539978148,,,,,,
common,d,8,3200,1.5,8.0,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.5816032959862817,0.014303384155346,0.8123058250477633,0.0083994341560687,0.0,0.0,,,,,0,,,0,,,,,7.83,0.9912382160004928,0.0601779279017145,,,,,,
common,d,9,3200,1.5,9.0,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5555555555555551,4.463264492478967e-17,12,100,0.962021779003759,0.0057567193956217,0.9677606160329186,0.0045399681510227,0.51,0.0502418393795691,0.901111111111111,0.0086348375204669,0.0348162964289936,0.0026119890298276,51,0.0515365964717153,0.0062243392081828,100,7.357417365125844,0.4947722555779387,0.0803069749902735,0.008484730779245,13.39,41.65173259999981,1.4752247638208398,41.6500198890004,1.4752219577012986,0.001712710999418,2.1534387977807688e-05,1971.0,
common,d,9,3200,1.5,9.0,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5555555555555551,4.463264492478967e-17,12,100,0.9195966166902764,0.009777504991978,0.9525070187423916,0.0055873516202465,0.34,0.0476095228569523,0.8644444444444442,0.0116673347037642,0.0381994583695845,0.0037506274310511,34,0.0674537695948901,0.0059983820337421,100,9.42724528077532,0.7312505678488752,0.1289534078742634,0.0109725237838823,12.72,1.9180833429994528,0.0526382253346412,1.908755553986557,0.0525528818734265,0.0093277890128956,0.0001350217246163,173.44,
common,d,9,3200,1.5,9.0,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5555555555555551,4.463264492478967e-17,12,100,0.9699100372457437,0.0038030830627116,0.972134294470001,0.0035140617685613,0.52,0.0502116731568678,1.0,0.0,0.0372239999785862,0.0029105718295841,52,0.0443024364324269,0.0030040307036243,100,6.803721306908894,0.384400181130451,0.0680881223479622,0.0058376223164328,13.53,12.122483922998946,1.1126008014652702,12.120864776999806,1.1126004572760029,0.0016191459991387,1.2648813411621645e-05,1971.0,
common,d,9,3200,1.5,9.0,PBSCM,0.15,0.85,5,1.5,exact_edges,1.5555555555555551,4.463264492478967e-17,12,100,0.113651151973167,0.012437454240151,0.392388695481831,0.0271451958370961,0.0,0.0,,,,,0,,,0,,,,,1.14,5.587838330000086,0.5278161300788338,,,,,,
common,d,9,3200,1.5,9.0,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.5555555555555551,4.463264492478967e-17,12,100,0.0210392156862745,0.0055646603244041,0.0841448228414172,0.0100853523947148,0.0,0.0,,,,,0,,,0,,,,,0.17,0.8241074179996213,0.0053330705348606,,,,,,
common,d,9,3200,1.5,9.0,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.5555555555555551,4.463264492478967e-17,12,100,0.5233239705882726,0.0179305805721047,0.8891685245511333,0.0055141504588753,0.0,0.0,,,,,0,,,0,,,,,5.97,11.33220107900008,0.3360622180021169,,,,,,
common,d,9,3200,1.5,9.0,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.5555555555555551,4.463264492478967e-17,12,100,0.5823703330415105,0.012445682260936,0.81727040139367,0.0076853837624178,0.0,0.0,,,,,0,,,0,,,,,9.14,1.3459889829995515,0.0939729345750018,,,,,,
common,d,10,3200,1.5,10.0,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9634619978186444,0.0049520367748823,0.9668084578102656,0.0043968087063243,0.53,0.0501613558046591,0.907,0.0092392443610739,0.0356218329280838,0.0022882731742599,53,0.0428802184760104,0.0026004028378489,100,6.55376484179342,0.2826187178274211,0.0718282488969023,0.0060647844729888,14.35,74.4592830500008,2.545139065366077,74.45547497700012,2.5451371869472306,0.0038080730006913,3.1815713656232166e-05,3820.0,
common,d,10,3200,1.5,10.0,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9305904642724724,0.0105605541998568,0.958188469993114,0.0050415961816288,0.44,0.0498887651569858,0.8810000000000001,0.0116943394750441,0.0348035990259735,0.0024750349854379,44,0.0493036481434323,0.0030502320727641,100,7.562539591796565,0.3868447011641501,0.1016175009151236,0.0095956765466918,13.84,2.16085405800026,0.0513426885811575,2.147571397003194,0.0512366601308242,0.0132826609970652,0.0002022545379917,216.08,
