alpha_regime,sweep,kbar_in,anchor_d,anchor_N,d,method,alpha_low,alpha_high,max_parents,avg_indegree,dag_generation_mode,mean_realized_avg_indegree,se_realized_avg_indegree,parallel_workers,completed_reps,mean_directed_f1,se_directed_f1,mean_skeleton_f1,se_skeleton_f1,mean_exact_dag,se_exact_dag,mean_family_accuracy,se_family_accuracy,mean_alpha_rmse_if_exact,se_alpha_rmse_if_exact,valid_alpha_rmse_reps,mean_alpha_rmse_on_correct_edges,se_alpha_rmse_on_correct_edges,valid_alpha_correct_edge_reps,mean_alpha_mape_on_correct_edges_pct,se_alpha_mape_on_correct_edges_pct,mean_alpha_rmse_on_true_edges,se_alpha_rmse_on_true_edges,mean_n_correct_directed_edges,mean_runtime_sec,se_runtime_sec,mean_local_score_runtime_sec,se_local_score_runtime_sec,mean_search_runtime_sec,se_search_runtime_sec,mean_n_local_scores_evaluated
expanded,kbar,1.0,8,3200,8,LibraryDP,0.2,2.0,5,1.0,exact_edges,1.0,0.0,12,100,0.941390486018969,0.01098882606834722,0.9580476927613151,0.007241040347652483,0.65,0.04793724854411022,0.905,0.01282654287094547,0.06572694566278965,0.008932577688682249,65,0.10375635081565081,0.01546985473568896,100,6.775895152528293,0.931959269384531,0.16726941961397368,0.02437674193654913,7.63,22.499461002000608,0.7738605832459672,22.498718214000547,0.7738620342218565,0.0007427880000614095,1.0369184545752146e-05,960.0
expanded,kbar,1.0,8,3200,8,LibraryGreedy,0.2,2.0,5,1.0,exact_edges,1.0,0.0,12,100,0.9387185611086539,0.011127688314923261,0.9641443314167774,0.006437236935086824,0.65,0.047937248544110224,0.89125,0.013606923185858683,0.06491027753535479,0.008973571909242242,65,0.11721049861192286,0.018698094964633614,100,6.428005574805424,0.7104525853471502,0.17845963141470228,0.025826294142720092,7.5,1.3308546549997118,0.04126618229502153,1.3264568029972725,0.04123521982194422,0.004397852002439322,7.306965546536188e-05,110.11
expanded,kbar,1.0,8,3200,8,OracleDP,0.2,2.0,5,1.0,exact_edges,1.0,0.0,12,100,0.9778312324929972,0.005316445956881669,0.9789423436041084,0.004744950077870372,0.78,0.04163331998932266,1.0,0.0,0.05787005414417875,0.007042770896522408,78,0.07112757690983955,0.00825613477753922,100,4.861951912382252,0.4501065702181298,0.09387612260140653,0.014314656930825708,7.86,5.739648200000083,0.514061177003734,5.738939548000344,0.5140595147898186,0.0007086519997392315,1.2339529353105281e-05,960.0
expanded,kbar,1.0,8,3200,8,PC-RCIT,0.2,2.0,5,1.0,exact_edges,1.0,0.0,12,100,0.559075258075258,0.026717910476862526,0.9494425770308124,0.006284891886014998,0.01,0.009999999999999998,,,,,0,,,0,,,,,3.67,3.7543609469998045,0.16589425254111212,,,,,
expanded,kbar,1.0,8,3200,8,PoissonDAG-ODS,0.2,2.0,5,1.0,exact_edges,1.0,0.0,12,100,0.6061676194283274,0.017668754720283137,0.7792555891394768,0.009377979215883096,0.03,0.017144660799776532,,,,,0,,,0,,,,,5.82,1.3086891030005063,0.1219036743591825,,,,,
expanded,kbar,1.5,8,3200,8,LibraryDP,0.2,2.0,5,1.5,exact_edges,1.5,0.0,12,100,0.8838850490893968,0.013775814686883,0.9109346468346468,0.0104683241843503,0.38,0.0487831731214563,0.81,0.0159386449875892,0.0592920125550408,0.0055417214524488,38,0.2396816740227726,0.0388080910052921,100,14.80855724027023,2.446161260984208,0.3573163183220705,0.0412174245424487,10.66,35.496344185000055,0.9848207404154132,35.49552932599967,0.9848170663301168,0.0008148590003838,1.6251944959837603e-05,960.0
expanded,kbar,1.5,8,3200,8,LibraryGreedy,0.2,2.0,5,1.5,exact_edges,1.5,0.0,12,100,0.849279170105257,0.0182728854032658,0.9244586775543298,0.008698724922114,0.32,0.046882617226215,0.75625,0.0204413888664121,0.0702792528481047,0.0082525221550763,32,0.3083509660549665,0.0420992360071332,100,16.87009740294301,2.4767183708000187,0.4265091411287404,0.0418541258987281,10.05,2.389033215000818,0.0920216120715374,2.3823622509928826,0.0919475519361689,0.0066709640079352,0.0001417420484872,130.43
expanded,kbar,1.5,8,3200,8,OracleDP,0.2,2.0,5,1.5,exact_edges,1.5,0.0,12,100,0.9636854763593894,0.0066457557633894,0.9710051581268972,0.0046629352706434,0.59,0.049431107042371,1.0,0.0,0.0659635212123322,0.0071947350060176,59,0.1108663225884276,0.0192176857633611,100,6.800291133542024,0.8540749695744131,0.1483863230078269,0.0234975595266596,11.58,8.391473157999572,0.7543806475739996,8.390746011999727,0.754380062863936,0.0007271459998446,1.3911183366259486e-05,960.0
expanded,kbar,1.5,8,3200,8,PC-RCIT,0.2,2.0,5,1.5,exact_edges,1.5,0.0,12,100,0.525808822315418,0.0203473443044063,0.877077971608864,0.0070234076135295,0.0,0.0,,,,,0,,,0,,,,,5.08,9.94444630799888,0.324041914546547,,,,,
expanded,kbar,1.5,8,3200,8,PoissonDAG-ODS,0.2,2.0,5,1.5,exact_edges,1.5,0.0,12,100,0.6630071487957677,0.0149876258664968,0.8089162189664427,0.0089841576259564,0.01,0.0099999999999999,,,,,0,,,0,,,,,8.93,3.172470932000142,0.3061711350898021,,,,,
