alpha_regime,sweep,kbar_in,anchor_d,anchor_N,d,method,true_family,selected_family,count,row_rate
common,kbar,1.5,8,3200,8,LibraryDP,Geom,Binomial,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,Geom,Bernoulli,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,Binomial,Poisson,8,0.064516129032258
common,kbar,1.5,8,3200,8,LibraryDP,Binomial,NB,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,Binomial,ZIP,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,Binomial,Geom,1,0.0080645161290322
common,kbar,1.5,8,3200,8,LibraryDP,Binomial,Binomial,112,0.9032258064516128
common,kbar,1.5,8,3200,8,LibraryDP,Binomial,Bernoulli,3,0.0241935483870967
common,kbar,1.5,8,3200,8,LibraryDP,Bernoulli,Poisson,14,0.1007194244604316
common,kbar,1.5,8,3200,8,LibraryDP,Bernoulli,NB,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,Bernoulli,ZIP,0,0.0
common,kbar,1.5,8,3200,8,LibraryDP,Bernoulli,Geom,8,0.0575539568345323
common,kbar,1.5,8,3200,8,LibraryDP,Bernoulli,Binomial,1,0.0071942446043165
common,kbar,1.5,8,3200,8,LibraryDP,Bernoulli,Bernoulli,116,0.8345323741007195
common,kbar,1.5,8,3200,8,LibraryGreedy,Poisson,Poisson,107,0.8991596638655462
common,kbar,1.5,8,3200,8,LibraryGreedy,Poisson,NB,7,0.0588235294117647
common,kbar,1.5,8,3200,8,LibraryGreedy,Poisson,ZIP,1,0.0084033613445378
common,kbar,1.5,8,3200,8,LibraryGreedy,Poisson,Geom,0,0.0
common,kbar,1.5,8,3200,8,LibraryGreedy,Poisson,Binomial,4,0.0336134453781512
common,kbar,1.5,8,3200,8,LibraryGreedy,Poisson,Bernoulli,0,0.0
common,kbar,1.5,8,3200,8,LibraryGreedy,NB,Poisson,6,0.0405405405405405
common,kbar,1.5,8,3200,8,LibraryGreedy,NB,NB,134,0.9054054054054054
common,kbar,1.5,8,3200,8,LibraryGreedy,NB,ZIP,3,0.0202702702702702
common,kbar,1.5,8,3200,8,LibraryGreedy,NB,Geom,4,0.027027027027027
common,kbar,1.5,8,3200,8,LibraryGreedy,NB,Binomial,1,0.0067567567567567
common,kbar,1.5,8,3200,8,LibraryGreedy,NB,Bernoulli,0,0.0
common,kbar,1.5,8,3200,8,LibraryGreedy,ZIP,Poisson,0,0.0
common,kbar,1.5,8,3200,8,LibraryGreedy,ZIP,NB,8,0.064516129032258
common,kbar,1.5,8,3200,8,LibraryGreedy,ZIP,ZIP,113,0.9112903225806452
