setting,regime,sweep,sweep_value,method,expected_R,R_total,R_success,R_failed,mean_F1,sd_F1,se_F1,ci95_low,ci95_high,plot_ci95_low,plot_ci95_high,mean_runtime_sec
all_poisson,restricted,dimension,9.0,ODS,100,100,100,0,0.7680045470919236,0.11851290291088695,0.011851290291088695,0.7447760181213897,0.7912330760624574,0.7447760181213897,0.7912330760624574,0.7055568740004674
all_poisson,restricted,dimension,9.0,PC-RCIT,100,100,100,0,0.5671874892749572,0.16683321512486565,0.016683321512486565,0.5344881791104835,0.5998867994394309,0.5344881791104835,0.5998867994394309,12.721211943001254
all_poisson,restricted,dimension,9.0,PB-SCM,100,100,100,0,0.47519341926989644,0.1513207328199085,0.015132073281990848,0.4455345556371944,0.5048522829025985,0.4455345556371944,0.5048522829025985,17.71163667100307
all_poisson,restricted,dimension,9.0,PB-SCM-PGF,100,100,100,0,0.032834967320261435,0.06464698540071298,0.006464698540071298,0.02016415818172169,0.045505776458801175,0.02016415818172169,0.045505776458801175,0.7670876490010414
all_poisson,restricted,dimension,10.0,Proposed DP-BIC,100,100,100,0,0.9893733778272156,0.02321772285349621,0.0023217722853496213,0.9848227041479303,0.9939240515065009,0.9848227041479303,0.9939240515065009,32.18008649399621
all_poisson,restricted,dimension,10.0,Greedy-BIC,100,100,100,0,0.8349564017739769,0.17978185945803477,0.017978185945803478,0.799719157320202,0.8701936462277517,0.799719157320202,0.8701936462277517,1.5703670520009474
all_poisson,restricted,dimension,10.0,Poisson-only DP,100,100,100,0,0.9900400444938822,0.02253957168064728,0.002253957168064728,0.9856222884444753,0.994457800543289,0.9856222884444753,0.994457800543289,1.0358331039978657
all_poisson,restricted,dimension,10.0,ODS,100,100,100,0,0.7160917157876111,0.11517102216919776,0.011517102216919777,0.6935181954424483,0.7386652361327739,0.6935181954424483,0.7386652361327739,0.69266798100085
all_poisson,restricted,dimension,10.0,PC-RCIT,100,100,100,0,0.5891099247961474,0.166692292260245,0.016669229226024502,0.5564382355131394,0.6217816140791554,0.5564382355131394,0.6217816140791554,14.374126129997894
all_poisson,restricted,dimension,10.0,PB-SCM,100,100,100,0,0.4577052436115388,0.1447726777342679,0.014477267773426792,0.4293297987756223,0.48608068844745533,0.4293297987756223,0.48608068844745533,20.288433613001253
all_poisson,restricted,dimension,10.0,PB-SCM-PGF,100,100,100,0,0.016629765143697028,0.04757454348784841,0.004757454348784841,0.0073051546200787396,0.025954375667315316,0.0073051546200787396,0.025954375667315316,1.0392002580012194
all_poisson,restricted,sample_size,100.0,Proposed DP-BIC,100,100,100,0,0.6548527334378726,0.1557294638994874,0.01557294638994874,0.6243297585135731,0.6853757083621722,0.6243297585135731,0.6853757083621722,0.7365703540001414
all_poisson,restricted,sample_size,100.0,Greedy-BIC,100,100,100,0,0.5244051591234928,0.18401457215552855,0.018401457215552856,0.4883383029810092,0.5604720152659765,0.4883383029810092,0.5604720152659765,0.07626958299988469
all_poisson,restricted,sample_size,100.0,Poisson-only DP,100,100,100,0,0.6689094348092194,0.15185374589084483,0.015185374589084482,0.6391461006146137,0.698672769003825,0.6391461006146137,0.698672769003825,0.049196089000033645
